entity,year,electricityFromWindTwh,geothermalCapacity,renewablesEquivalentPrimaryEnergy,windEquivalentPrimaryEnergy,electricityFromHydroTwh,electricityFromSolarTwh,otherRenewablesIncludingBioenergyTwh,solarElectricity,hydroEquivalentPrimaryEnergy,hydroElectricity,geoBiomassOtherTwh,solarGenerationTwh,windGenerationTwh,hydroGenerationTwh,solarEquivalentPrimaryEnergy,windCapacity,biofuelsProductionTwhTotal,renewablesElectricity,solarCapacity,windElectricity
France,1965,0.0,0.0,10.584984,0.0,46.881092,0.0,0.0,0.0,10.584984,0.0,0.0,0.0,0.0,46.881092,0.0,0.0,0.0,0.0,0.0,0.0
France,1966,0.0,0.0,11.602393,0.0,52.20847,0.0,0.39,0.0,11.509577,0.0,0.39,0.0,0.0,52.20847,0.0,0.0,0.0,0.0,0.0,0.0
France,1967,0.0,0.0,9.537199,0.0,45.37766,0.0,0.605,0.0,9.401877,0.0,0.605,0.0,0.0,45.37766,0.0,0.0,0.0,0.0,0.0,0.0
France,1968,0.0,0.0,10.09288,0.0,50.42261,0.0,0.926,0.0,9.896674,0.0,0.926,0.0,0.0,50.42261,0.0,0.0,0.0,0.0,0.0,0.0
France,1969,0.0,0.0,9.634168,0.0,52.94209,0.0,1.067,0.0,9.429019,0.0,1.067,0.0,0.0,52.94209,0.0,0.0,0.0,0.0,0.0,0.0
France,1970,0.0,0.0,9.537436,0.0,56.681484,0.0,1.3702458,0.0,9.294863,0.0,1.3702458,0.0,0.0,56.681484,0.0,0.0,0.0,0.0,0.0,0.0
France,1971,0.0,0.0,7.9428425,0.0,48.856724,0.0,1.3918225,0.0,7.7058578,0.0,1.3918225,0.0,0.0,48.856724,0.0,0.0,0.0,0.0,0.0,0.0
France,1972,0.0,0.0,7.446317,0.0,48.831467,0.0,1.5151953,0.0,7.20497,0.0,1.5151953,0.0,0.0,48.831467,0.0,0.0,0.0,0.0,0.0,0.0
France,1973,0.0,0.0,6.7090616,0.0,47.696262,0.0,1.5500864,0.0,6.481657,0.0,1.5500864,0.0,0.0,47.696262,0.0,0.0,0.0,0.0,0.0,0.0
France,1974,0.0,0.0,8.01622,0.0,56.230286,0.0,1.5770591,0.0,7.780643,0.0,1.5770591,0.0,0.0,56.230286,0.0,0.0,0.0,0.0,0.0,0.0
France,1975,0.0,0.0,9.053055,0.0,60.107937,0.0,1.4158849,0.0,8.828549,0.0,1.4158849,0.0,0.0,60.107937,0.0,0.0,0.0,0.0,0.0,0.0
France,1976,0.0,0.0,6.8996778,0.0,48.56463,0.0,1.3329,0.0,6.70113,0.0,1.3329,0.0,0.0,48.56463,0.0,0.0,0.0,0.0,0.0,0.0
France,1977,0.0,0.0,10.595119,0.0,76.322975,0.0,1.3745815,0.0,10.39305,0.0,1.3745815,0.0,0.0,76.322975,0.0,0.0,0.0,0.0,0.0,0.0
France,1978,0.0,0.0,9.109527,0.0,68.35983,0.0,1.4183881,0.0,8.909949,0.0,1.4183881,0.0,0.0,68.35983,0.0,0.0,0.0,0.0,0.0,0.0
France,1979,0.0,0.0,8.611678,0.0,66.419136,0.0,1.4840102,0.0,8.408854,0.0,1.4840102,0.0,0.0,66.419136,0.0,0.0,0.0,0.0,0.0,0.0
France,1980,0.0,0.0,9.114398,0.0,69.52675,0.0,1.4710236,0.0,8.910869,0.0,1.4710236,0.0,0.0,69.52675,0.0,0.0,0.0,0.0,0.0,0.0
France,1981,0.0,0.0,9.551752,0.0,72.19517,0.0,1.4921525,0.0,9.343281,0.0,1.4921525,0.0,0.0,72.19517,0.0,0.0,0.0,0.0,0.0,0.0
France,1982,0.0,0.0,9.705157,0.0,70.57486,0.0,1.52734,0.0,9.483593,0.0,1.52734,0.0,0.0,70.57486,0.0,0.0,0.0,0.0,0.0,0.0
France,1983,0.0,0.0,9.325617,0.0,69.443016,0.0,1.5587,0.0,9.104992,0.0,1.5587,0.0,0.0,69.443016,0.0,0.0,0.0,0.0,0.0,0.0
France,1984,0.0,0.0,8.554503,0.0,65.69011,0.0,1.6223,0.0,8.332356,0.0,1.6223,0.0,0.0,65.69011,0.0,0.0,0.0,0.0,0.0,0.0
France,1985,0.0,0.0,7.887791,0.0,62.453335,0.0,1.65215,0.0,7.668782,18.182373,1.65215,0.0,0.0,62.453335,0.0,0.0,0.0,18.663372,0.0,0.0
France,1986,0.0,0.0,7.7647924,0.0,63.010845,0.0,1.6628,0.0,7.549715,17.395485,1.6628,0.0,0.0,63.010845,0.0,0.0,0.0,17.854536,0.0,0.0
France,1987,0.0,0.0,8.584645,0.0,71.087555,0.0,1.7506,0.0,8.362334,18.812828,1.7506,0.0,0.0,71.087555,0.0,0.0,0.0,19.276115,0.0,0.0
France,1988,0.0,0.0,9.174313,0.0,77.11729,0.0,1.77325,0.0,8.952092,19.691439,1.77325,0.0,0.0,77.11729,0.0,0.0,0.0,20.144228,0.0,0.0
France,1989,0.0,0.0,5.5997367,0.0,46.842293,0.0,1.84145,0.0,5.3717656,11.533543,1.84145,0.0,0.0,46.842293,0.0,0.0,0.0,11.986945,0.0,0.0
France,1990,0.0,4.2,6.222641,3.0203992e-05,53.87,0.0,1.91,0.0,5.992851,12.9122715,1.913,0.0,0.000271526,53.866,0.0,0.0,0.0,13.370086,0.0,0.0
France,1991,0.0,0.0,6.2665405,5.1226154e-05,57.6,0.0,2.1100001,0.0,6.0289803,12.754086,2.102,0.0,0.000489604,57.602,0.0,0.0,0.0,13.2212925,0.0,0.0
France,1992,0.0,0.0,7.399244,5.0800405e-05,68.96,0.0,2.1399999,0.0,7.157376,14.990653,2.134,0.001488,0.000489604,68.956,0.00015444885,0.0,0.02624891,15.45585,0.0,0.0
France,1993,0.0,0.0,6.9688835,0.0002495679,64.89,0.0,1.97,0.0,6.734607,13.816378,1.974,0.001683,0.00240218,64.895,0.00017450257,0.0,0.2923782,14.23583,0.0,0.0
France,1994,0.0,0.0,8.563506,0.00049452117,78.79,0.0,2.1599998,0.0,8.27928,16.601349,2.157,0.0018785,0.004704,78.794,0.00019741362,0.0,0.94942665,17.056469,0.0,0.0
France,1995,0.0,4.2,7.823903,0.00048401835,73.12,0.0,2.33,0.0,7.504825,14.885994,2.329,0.00204,0.0047142,73.119,0.00020922704,0.0,1.8613815,15.360343,0.0,0.0
France,1996,0.01,0.0,6.882894,0.00073534844,66.04,0.0,2.42,0.0,6.5358534,12.970383,2.423,0.0026503,0.0074302,66.044,0.00026215962,0.0,2.678552,13.447639,0.004,0.0019640191
France,1997,0.01,0.0,6.803889,0.0011164609,63.76,0.0,2.67,0.0,6.3971257,12.727563,2.675,0.0034068,0.0111284,63.764,0.0003421084,0.013,3.2066004,13.262536,0.006,0.0019961675
France,1998,0.02,0.0,6.470214,0.0019122529,62.09,0.0,2.65,0.0,6.089973,12.240513,2.653,0.0040885,0.0194972,62.093,0.00040078338,0.021,2.9976673,12.766879,0.008,0.003942829
France,1999,0.04,0.0,7.388863,0.00356052,72.51,0.0,2.85,0.0,6.9885454,13.911325,2.853,0.0045475,0.03694443,72.514,0.00043818555,0.025,3.1512532,14.465783,0.009,0.0076741558
France,2000,0.05,0.0,6.7445607,0.004567796,64.78,0.01,2.99,0.001874063,6.3152604,12.140181,2.986,0.00522325,0.048,66.363,0.0004970359,0.038,3.7758656,12.71177,0.007,0.009370315
France,2001,0.13,0.0,7.405367,0.012235258,72.62,0.01,3.33,0.0018394187,6.93655,13.35786,3.334,0.0061605,0.131,74.268,0.00057579303,0.066,3.7668989,13.996136,0.007,0.023912443
France,2002,0.27,0.0,6.175621,0.024846254,58.88,0.01,3.53,0.0018112005,5.6627903,10.664349,3.537,0.00710345,0.265,60.397,0.0006656439,0.138,4.034773,11.354416,0.008,0.048902415
France,2003,0.39,0.0,5.962182,0.035777085,57.35,0.01,3.72,0.0017859695,5.435075,10.242535,3.717,0.0077673,0.388,58.943,0.0007162672,0.218,4.430088,10.978354,0.009,0.06965281
France,2004,0.59,0.0,5.970315,0.054071266,58.04,0.01,3.78,0.0017630776,5.4121256,10.232903,3.782,0.008447984,0.595,59.555,0.0007673786,0.358,4.643859,11.005131,0.011,0.10402157
France,2005,0.96,0.0,5.365334,0.08738115,50.14,0.01,3.8700001,0.001754817,4.676072,8.798653,3.872,0.01050076,0.962,51.48,0.00095381454,0.6900000000000001,7.501699,9.647984,0.013,0.16846244
France,2006,2.18,0.0,5.969732,0.19854215,54.88,0.01,3.8400002,0.0017605633,5.123061,9.661972,3.841,0.01190605,2.182,56.303,0.0010833412,1.412,7.866113,10.723592,0.015,0.38380283
France,2007,4.07,0.0,6.6387134,0.37458006,55.99,0.02,4.22,0.0035573894,5.30155,9.958912,4.216,0.018,4.07,57.604,0.001656621,2.223,13.113837,11.437008,0.026,0.7239288
France,2008,5.69,0.0,7.6322675,0.5191732,62.16,0.04,4.44,0.007050322,5.803908,10.956201,4.436,0.042,5.694,63.654,0.0038295197,3.403,24.178932,12.748745,0.08,1.0029083
France,2009,7.91,0.0,7.70645,0.7593175,55.49,0.17,4.58,0.032123353,5.4697347,10.48544,4.578,0.174,7.912,56.994,0.016698845,4.582,27.055717,12.877686,0.277,1.4946806
France,2010,9.94,0.0,8.220292,0.92079973,61.2,0.62,4.92,0.110157594,5.8066397,10.87362,4.917,0.62,9.945,62.714,0.057405315,5.912,26.374874,13.624007,1.044,1.7660749
France,2011,12.37,16.3,7.185518,1.1538953,45.74,2.33,5.58,0.41064504,4.288427,8.061332,5.48,2.078,12.052,44.791,0.19895405,6.758016,26.244072,11.6355295,3.003574,2.1801198
France,2012,15.18,15.3,9.137363,1.4368485,59.83,4.43,5.8100004,0.7811948,5.5905185,10.550539,6.3471003,4.016,15.107985,58.78245,0.38194263,7.607496,30.628035,15.033152,4.358754,2.6768708
France,2013,16.13,16.3,10.4594345,1.5015919,71.92,5.19,6.18,0.90033823,6.6261725,12.476364,7.80987,4.735,16.054344,70.84405,0.44287318,8.155961,28.553371,17.246943,5.277289,2.7981608
France,2014,17.32,16.3,10.459279,1.674002,63.77,6.39,6.5499997,1.1285964,6.0971355,11.263003,8.320374,5.913,17.250189,62.829517,0.57381254,9.201425,28.88099,16.6075,6.034418,3.059044
France,2015,21.42,16.3,10.147399,2.0474362,55.56,7.75,7.11,1.3503624,5.2318974,9.680792,8.844254,7.2631626,21.350168,54.556957,0.696522,10.29818,30.707294,16.002232,7.137517,3.7322276
France,2016,21.38,15.51,10.975246,2.0660396,60.84,8.66,8.12,1.5501655,5.8102303,10.890539,9.635901,8.164943,21.307964,59.923428,0.79168034,11.566564,28.094324,17.721292,7.702081000000001,3.8270829
France,2017,24.61,15.9,10.437264,2.3833985,50.0,9.59,8.43,1.724572,4.75486,8.991511,10.333821,9.102625,24.54369,48.964455,0.8839415,13.499357,27.349375,16.657675,8.610437,4.425622
France,2018,28.6,15.9,12.132495,2.7044618,65.11,10.92,8.99,1.896393,6.058622,11.307157,10.550078,10.411551,28.53087,63.915768,0.98691845,14.900146,31.01172,19.731518,9.672296,4.9667435
France,2019,34.72,15.9,12.384905,3.3397024,56.91,12.33,9.25,2.1795235,5.405574,10.059748,10.743961,11.747336,34.61536,56.027714,1.1333872,16.456854,28.762793,20.011667,10.807874,6.137312
France,2020,39.86,16.0,14.788747,4.2431736,62.59,13.46,9.37,2.5528686,6.5299044,11.871029,10.668056,12.925406,39.74983,61.17179,1.3797481,17.484002,26.882746,23.761024,12.022225,7.559981
France,2021,36.83,0.0,13.671011,3.7022312,59.62,15.73,10.18,2.8580253,5.8052735,10.832516,11.1924715,14.605709,36.96734,57.966537,1.4627429,18.676002,29.719494,22.231913,14.709225,6.6917405
France,2022,38.46,0.0,0.0,0.0,46.18,19.98,10.6,4.255772,0.0,9.836414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.542046,0.0,8.192042
Germany,1965,0.0,0.0,1.614503,0.0,16.21221,0.0,0.0,0.0,1.614503,0.0,0.0,0.0,0.0,16.21221,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1966,0.0,0.0,1.7416129,0.0,17.533998,0.0,0.0,0.0,1.7416129,0.0,0.0,0.0,0.0,17.533998,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1967,0.0,0.0,1.6582538,0.0,16.652311,0.0,0.0,0.0,1.6582538,0.0,0.0,0.0,0.0,16.652311,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1968,0.0,0.0,1.5761398,0.0,16.89899,0.0,0.0,0.0,1.5761398,0.0,0.0,0.0,0.0,16.89899,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1969,0.0,0.0,1.1857672,0.0,13.713478,0.0,0.0,0.0,1.1857672,0.0,0.0,0.0,0.0,13.713478,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1970,0.0,0.0,1.5171292,0.0,17.533678,0.0,0.92002016,0.0,1.4357978,0.0,0.92002016,0.0,0.0,17.533678,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1971,0.0,0.0,1.1796806,0.0,13.455188,0.0,1.0010282,0.0,1.0919782,0.0,1.0010282,0.0,0.0,13.455188,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1972,0.0,0.0,1.1219959,0.0,13.205894,0.0,1.0187488,0.0,1.0357395,0.0,1.0187488,0.0,0.0,13.205894,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1973,0.0,0.0,1.2137141,0.0,15.229462,0.0,1.0531049,0.0,1.1294044,0.0,1.0531049,0.0,0.0,15.229462,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1974,0.0,0.0,1.4188614,0.0,17.638132,0.0,1.07625,0.0,1.3311741,0.0,1.07625,0.0,0.0,17.638132,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1975,0.0,0.0,1.4353294,0.0,17.059124,0.0,1.1247102,0.0,1.3399583,0.0,1.1247102,0.0,0.0,17.059124,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1976,0.0,0.0,1.1208524,0.0,13.846833,0.0,1.2776853,0.0,1.0193156,0.0,1.2776853,0.0,0.0,13.846833,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1977,0.0,0.0,1.3967295,0.0,17.58216,0.0,1.2465839,0.0,1.2974242,0.0,1.2465839,0.0,0.0,17.58216,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1978,0.0,0.0,1.408961,0.0,18.362234,0.0,1.317466,0.0,1.3076738,0.0,1.317466,0.0,0.0,18.362234,0.0,0.0,0.0,0.0,0.0,0.0
Germany,1979,0.0,0.0,1.3454018,0.0,18.383686,0.0,1.4433178,0.0,1.2402805,0.0,1.4433178,0.0,0.0,18.383686,0.0,0.0,0.0,0.0,0.0,0.0
